id,name,value,type,created_at,updated_at
1,Linux,10,"Technical skill","2019-08-29 03:05:43","2019-08-29 03:05:43"
2,Git,20,"Technical skill","2019-08-29 03:05:43","2019-08-29 03:05:43"
3,Docker,30,"Technical skill","2019-08-29 03:05:43","2019-08-29 03:05:43"
4,"Clean code",40,"Technical skill","2019-08-29 03:05:44","2019-08-29 03:05:44"
5,"RESTful API",50,"Technical skill","2019-08-29 03:05:44","2019-08-29 03:05:44"
6,Laravel,60,"Technical skill","2019-08-29 03:05:44","2019-08-29 03:05:44"
7,Email,80,"Soft skill","2019-08-29 03:05:44","2019-08-29 03:05:44"
8,HORENSO,90,"Soft skill","2019-08-29 03:05:44","2019-08-29 03:05:44"
9,Completed,0,"Soft skill","2019-08-29 03:05:44","2019-08-29 03:05:44"
